session_id,problem_index,task_type,difficulty,n_attempts,consolidated,correct,first_attempt,last_attempt
sess_1776262588703,1,translation,1,2,False,False,Como rojo manzanas.,Como rojo manzanas.
sess_1776262710727,1,translation,2,1,False,False,Quiero ir al parque,Quiero ir al parque
sess_1776262710727,2,translation,3,6,True,False,Que hora despiertas por la manana?,A que hora despiertas por la manana?
sess_1776262965235,1,error_correction,2,2,False,False,esta not es,Esta is for when the state is temporary
sess_1776263454639,1,translation,1,3,False,False,I don't know what I see is but I know red apple is rojo manzana.,no
sess_1776263723268,1,translation,2,4,False,False,quiero ir al parque,quiero a ir al parque.
sess_1776264048052,1,translation,2,1,False,False,quiero ir al parque,quiero ir al parque
sess_1776264048052,2,translation,3,1,False,False,Que necesitas para tu clase mañana?,Que necesitas para tu clase mañana?
sess_1776264436700,1,translation,2,1,False,False,quiero ir al parque,quiero ir al parque
sess_1776264436700,3,error_correction,4,2,False,False,there is no error,ya it seems right
sess_1776264436700,4,error_correction,5,5,True,False,dont see an error,I dont know
sess_1776264676307,1,error_correction,2,1,False,False,hi,hi
sess_1777032626957,1,translation,2,5,True,False,Quiero ir al something,no idea
sess_1777032626957,4,error_correction,4,1,False,True,there is no error.,there is no error.
sess_1777032626957,5,error_correction,5,5,True,False,there is no error.,que compro?
sess_1777032626957,7,conversation_completion,4,1,False,True,Que divertido! Cual pelicula?,Que divertido! Cual pelicula?
sess_1777032626957,8,conversation_completion,5,4,False,True,Ah en serio? Prefiero el spring,Quiero estar afuera
sess_1777037803060,1,translation,2,1,False,True,Quiero ir al parque.,Quiero ir al parque.
sess_1777037803060,2,translation,3,5,True,False,i dont know how to do this,i have no idea
sess_1777037803060,5,error_correction,3,1,False,False,can you give me a hint?,can you give me a hint?
sess_1777302390653,1,translation,2,5,True,False,i dont know,jdksalf;jadsk
